NLC,Estacion,Entradas_semana,Entradas_sabado,Entradas_domingo,Salidas_semana,Salidas_sabado,Salidas_domingo,Entradas_salidas_anual_millones
525.0,Borough,7686.0,5231.0,3413.0,7663.0,5412.0,3432.0,4.84
526.0,Boston Manor,3066.0,2156.0,1555.0,3116.0,1868.0,1468.0,1.95
527.0,Bounds Green,9424.0,7066.0,4821.0,8387.0,5940.0,4605.0,5.74
528.0,Bow Road,8221.0,6170.0,4277.0,7838.0,5629.0,4264.0,5.18
529.0,Brent Cross,3441.0,2311.0,1807.0,3245.0,2131.0,1638.0,2.13
530.0,Bromley-by-Bow,4349.0,2843.0,2040.0,3986.0,2646.0,1926.0,2.63
531.0,Buckhurst Hill,3230.0,1965.0,973.0,3113.0,1729.0,947.0,1.91
532.0,Burnt Oak,6102.0,3763.0,2529.0,5599.0,3408.0,2391.0,3.62
534.0,Caledonian Road,8673.0,6117.0,4143.0,7860.0,5165.0,4007.0,5.25
535.0,Camden Town,28272.0,37885.0,15779.0,29891.0,43282.0,29625.0,21.61
536.0,Cannon Street,8741.0,0.0,0.0,7419.0,0.0,0.0,4.09
537.0,Canons Park,3391.0,1766.0,1183.0,3222.0,1590.0,1118.0,1.98
539.0,Chalfont & Latimer,2220.0,1010.0,702.0,2075.0,952.0,640.0,1.27
540.0,Chalk Farm,8662.0,7503.0,6490.0,7247.0,5816.0,4066.0,5.34
541.0,Chancery Lane,28353.0,6912.0,3671.0,29957.0,6962.0,3521.0,15.9
542.0,Embankment,29995.0,26505.0,17394.0,29487.0,27402.0,17057.0,19.88
543.0,Chesham,1218.0,638.0,385.0,946.0,565.0,342.0,0.65
544.0,Chigwell,940.0,387.0,180.0,743.0,363.0,190.0,0.49
545.0,Chiswick Park,3341.0,1881.0,1172.0,3655.0,1793.0,1120.0,2.1
546.0,Chorleywood,1755.0,785.0,407.0,1521.0,1401.0,714.0,1.01
547.0,Clapham Common,13157.0,11584.0,7624.0,14633.0,12768.0,7923.0,9.21
